part,comparison,rung,rung_name,member,scorer,im_size,subset,test,n,k_classes,repeats,detect,detect_lo,detect_hi,effect_mean,effect_sd
primary,cifar10-vs-cifar100,ref,JPEG bytes (scalar KS),jpeg,jpeg_bytes,256,-1,KS,100,,200,0.03,0.013820125830748327,0.06389511973247333,0.12190000000000001,0.03348716171908273
primary,cifar10-vs-cifar100,ref,JPEG bytes (scalar KS),jpeg,jpeg_bytes,256,-1,KS,250,,200,0.1,0.06566994117157123,0.14940686356308552,0.08451999999999998,0.025988643673727954
primary,cifar10-vs-cifar100,ref,JPEG bytes (scalar KS),jpeg,jpeg_bytes,256,-1,KS,500,,200,0.125,0.0861191515921568,0.1780153528465839,0.06484000000000001,0.01680994943478415
primary,cifar10-vs-cifar100,ref,JPEG bytes (scalar KS),jpeg,jpeg_bytes,256,-1,KS,1000,,200,0.145,0.1028928513530641,0.20048781284894374,0.04999000000000001,0.01106796729304889
classdrop,cifar-k-of-10,1,colour moments,colour,colour-moments,32,-1,C2ST,2000,9.0,500,0.246,0.2102803738317757,0.2855929323819232,0.5107539999999999,0.012182835630509018
classdrop,cifar-k-of-10,1,colour moments,colour,colour-moments,32,-1,C2ST,2000,10.0,500,0.038,0.024459922123289107,0.0585852253992656,0.49898,0.011058643678137024
classdrop,cifar-k-of-10,2,random pixel projection,s0,random-pixels-s0-64d,32,-1,C2ST,2000,9.0,500,0.156,0.12683030337229503,0.19041543417696646,0.506792,0.012186826330099237
classdrop,cifar-k-of-10,2,random pixel projection,s0,random-pixels-s0-64d,32,-1,C2ST,2000,10.0,500,0.034,0.02133433944461342,0.053771805026188516,0.49990599999999996,0.010978623046630208
classdrop,cifar-k-of-10,2,random pixel projection,s1,random-pixels-s1-64d,32,-1,C2ST,2000,9.0,500,0.15,0.12137548023138253,0.1839617527402498,0.507133,0.0110279105455204
classdrop,cifar-k-of-10,2,random pixel projection,s1,random-pixels-s1-64d,32,-1,C2ST,2000,10.0,500,0.038,0.024459922123289107,0.0585852253992656,0.5006269999999999,0.010313310380280424
classdrop,cifar-k-of-10,2,random pixel projection,s2,random-pixels-s2-64d,32,-1,C2ST,2000,9.0,500,0.144,0.11593760751948218,0.177491120874521,0.5064919999999999,0.011218152075988273
classdrop,cifar-k-of-10,2,random pixel projection,s2,random-pixels-s2-64d,32,-1,C2ST,2000,10.0,500,0.034,0.02133433944461342,0.053771805026188516,0.5004069999999999,0.010895772161714836
classdrop,cifar-k-of-10,3,untrained AE (occupancy),s0,entropy-2-random-s0-64d,256,-1,C2ST,2000,9.0,500,0.166,0.13595723820567882,0.20113600697296466,0.507875,0.011477973470957319
classdrop,cifar-k-of-10,3,untrained AE (occupancy),s0,entropy-2-random-s0-64d,256,-1,C2ST,2000,10.0,500,0.044,0.029233737680341678,0.06571991441984218,0.499815,0.011525505411911446
classdrop,cifar-k-of-10,3,untrained AE (occupancy),s1,entropy-2-random-s1-64d,256,-1,C2ST,2000,9.0,500,0.182,0.15064591449727432,0.21820334288838023,0.50853,0.011349101286004986
classdrop,cifar-k-of-10,3,untrained AE (occupancy),s1,entropy-2-random-s1-64d,256,-1,C2ST,2000,10.0,500,0.032,0.01979134135128301,0.05134530159364255,0.498827,0.010941141211043752
classdrop,cifar-k-of-10,3,untrained AE (occupancy),s2,entropy-2-random-s2-64d,256,-1,C2ST,2000,9.0,500,0.206,0.17285607517585092,0.24362720052032025,0.508289,0.01234580815499739
classdrop,cifar-k-of-10,3,untrained AE (occupancy),s2,entropy-2-random-s2-64d,256,-1,C2ST,2000,10.0,500,0.05,0.03409350665098192,0.07276865002683111,0.49962,0.011022912500786713
classdrop,cifar-k-of-10,3q,untrained AE (activation),s0,entropy-2-random-s0-act64d,256,-1,C2ST,2000,9.0,500,0.252,0.21593322346148225,0.29184858732984587,0.510236,0.012025901379938224
classdrop,cifar-k-of-10,3q,untrained AE (activation),s0,entropy-2-random-s0-act64d,256,-1,C2ST,2000,10.0,500,0.052,0.03573001990962654,0.07510163829406287,0.5002300000000001,0.011127043632519826
classdrop,cifar-k-of-10,3q,untrained AE (activation),s1,entropy-2-random-s1-act64d,256,-1,C2ST,2000,9.0,500,0.264,0.22726719286500013,0.3043316270815863,0.510119,0.012497493308659945
classdrop,cifar-k-of-10,3q,untrained AE (activation),s1,entropy-2-random-s1-act64d,256,-1,C2ST,2000,10.0,500,0.052,0.03573001990962654,0.07510163829406287,0.500235,0.011591042878015765
classdrop,cifar-k-of-10,3q,untrained AE (activation),s2,entropy-2-random-s2-act64d,256,-1,C2ST,2000,9.0,500,0.26,0.22348508910670623,0.3001747277881274,0.510691,0.012581813025156591
classdrop,cifar-k-of-10,3q,untrained AE (activation),s2,entropy-2-random-s2-act64d,256,-1,C2ST,2000,10.0,500,0.052,0.03573001990962654,0.07510163829406287,0.500302,0.01138520074482659
classdrop,cifar-k-of-10,4,natural AE mse-2 (occupancy),mse,entropy-2-mse-64d,256,-1,C2ST,2000,9.0,500,0.156,0.12683030337229503,0.19041543417696646,0.506844,0.011806255291158158
classdrop,cifar-k-of-10,4,natural AE mse-2 (occupancy),mse,entropy-2-mse-64d,256,-1,C2ST,2000,10.0,500,0.056,0.03902536261505807,0.07974529864038413,0.49983500000000003,0.010868591215056345
classdrop,cifar-k-of-10,4q,natural AE mse-2 (activation),mse,entropy-2-mse-act64d,256,-1,C2ST,2000,9.0,500,0.228,0.19338117351570927,0.2667666189651022,0.5101119999999999,0.012269166882881662
