scorer,contaminant,n,fraction,n_contaminating,repeats,im_size,detect,detect_lo,detect_hi,KS_mean
jpeg_bytes,uniform,250,1.0,250,500,256,1.0,0.9923753814690964,0.9999999999999999,1.0
jpeg_bytes,uniform,500,0.0,0,500,256,0.048,0.03246497509125218,0.07042768006068446,0.054040000000000005
jpeg_bytes,uniform,500,0.005,2,500,256,0.046,0.030844883399787512,0.06807827022627275,0.05434400000000001
jpeg_bytes,uniform,500,0.01,5,500,256,0.062,0.04401893261361028,0.08666023321946106,0.054544
jpeg_bytes,uniform,500,0.02,10,500,256,0.09,0.0679421955899675,0.11830999160537325,0.05750800000000001
jpeg_bytes,uniform,500,0.05,25,500,256,0.234,0.19900409539602293,0.27305220166241767,0.07193200000000001
jpeg_bytes,uniform,500,0.1,50,500,256,1.0,0.9923753814690964,0.9999999999999999,0.11243200000000002
jpeg_bytes,uniform,500,0.2,100,500,256,1.0,0.9923753814690964,0.9999999999999999,0.205964
jpeg_bytes,uniform,500,0.5,250,500,256,1.0,0.9923753814690964,0.9999999999999999,0.501736
jpeg_bytes,uniform,500,1.0,500,500,256,1.0,0.9923753814690964,0.9999999999999999,1.0
jpeg_bytes,uniform,1000,0.0,0,500,256,0.044,0.029233737680341678,0.06571991441984218,0.037898
jpeg_bytes,uniform,1000,0.005,5,500,256,0.064,0.045695733565557124,0.08895293379339062,0.038786
jpeg_bytes,uniform,1000,0.01,10,500,256,0.06,0.042348086000950205,0.08436157830624476,0.039032000000000004
jpeg_bytes,uniform,1000,0.02,20,500,256,0.088,0.06620563711739778,0.11607704855206659,0.0416
jpeg_bytes,uniform,1000,0.05,50,500,256,0.414,0.37164184827781455,0.4576695861095008,0.061136
